id,DELITO,CANTDAD,EDAD
0,EXTORSION EN GRADO DE TENTATIVA,1,19
1,HURTO AGRAVADO Y CALIFICADO,8,18
2,PORTE DE ESTUPEFACIENTES,10,17
3,PORTE ILEGAL DE ARMAS,1,17
4,HURTO Y PORTE ILEGAL DE ARMAS,2,19
5,ABUSO SEXUAL EN MENOR DE 14 ANNOS,2,18
6,HOMICIDIO SIMPLE,1,20
7,HURTO AGRAVADO Y CALIFICADO,2,15
8,HURTO AGRAVADO Y CALIFICADO,7,16
9,LESIONES PERSONALES AGRAVADAS,1,17
10,HURTO AGRAVADO,1,17
11,HURTO AGRAVADO Y CALIFICADO,2,20
12,HURTO Y PORTE ILEGAL DE ARMAS,2,18
13,RECEPTACION,2,16
14,HURTO,4,17
15,HURTO AGRAVADO Y CALIFICADO,6,19
16,RECEPTACION,2,15
17,EXTORSION EN GRADO DE TENTATIVA,1,16
18,ABUSO SEXUAL EN MENOR DE 14 ANNOS,1,20
19,HURTO Y PORTE ILEGAL DE ARMAS,2,15
20,VIOLENCIA INTRAFAMILIAR,3,17
21,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,1,16
22,VIOLENCIA INTRAFAMILIAR,1,14
23,VIOLENCIA CONTRA SERVIDOR PUBLICO,1,17
24,RECEPTACION,1,18
25,VIOLENCIA INTRAFAMILIAR,2,15
26,HURTO Y PORTE ILEGAL DE ARMAS,1,17
27,HOMICIDIO EN GRADO DE TENTATIVA,1,20
28,VIOLENCIA INTRAFAMILIAR,1,16
29,PORTE DE ESTUPEFACIENTES,1,19
30,HURTO,5,18
31,VIOLENCIA INTRAFAMILIAR,5,18
32,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",2,18
33,ACTOS SEXUALES CON MENOR DE 14 ANNOS,1,17
34,HURTO,4,16
35,EXTORSION,1,20
36,HURTO AGRAVADO,1,16
37,RECEPTACION,1,17
38,HURTO,1,15
39,HOMICIDIO EN GRADO DE TENTATIVA,1,18
40,HURTO AGRAVADO Y CALIFICADO,4,17
41,EXTORSION,1,15
42,PORTE DE ESTUPEFACIENTES,6,18
43,HURTO AGRAVADO Y CALIFICADO,1,21
44,HOMICIDIO,1,19
45,LESIONES PERSONALES,1,17
46,PORNOGRAFIA INFANTIL,1,16
47,PORTE DE ESTUPEFACIENTES,2,15
48,ABUSO SEXUAL EN MENOR DE 14 ANNOS,1,21
49,PORTE ILEGAL DE ARMAS,1,16
50,PORTE DE ESTUPEFACIENTES,6,16
51,DANNO EN BIEN AJENO,1,18
52,VIOLENCIA INTRAFAMILIAR,1,19
