,delito,consumo,edad
0,10,4,19
1,10,1,21
2,13,1,20
3,1,3,17
4,21,3,18
5,21,3,18
6,21,1,21
7,21,5,20
8,1,3,19
9,1,3,18
10,10,4,20
11,17,1,20
12,14,1,18
13,16,2,19
14,1,3,18
15,9,1,19
16,10,1,19
17,20,5,16
18,10,4,17
19,10,5,19
20,10,4,18
21,10,5,18
22,9,4,17
23,10,3,18
24,10,1,20
25,9,3,15
26,10,4,18
27,10,4,19
28,9,5,18
29,10,4,16
30,12,3,18
31,10,3,16
32,19,1,17
33,14,4,20
34,12,3,18
35,1,1,17
36,10,3,19
37,10,1,18
38,10,3,17
39,4,4,18
40,1,4,18
41,7,3,17
42,4,4,18
43,10,3,18
44,3,5,18
45,10,4,16
46,10,1,16
47,1,4,18
48,16,1,16
49,10,3,18
50,4,1,18
51,15,1,19
52,10,1,15
53,10,4,16
54,5,4,18
55,6,4,16
56,12,4,18
57,12,3,17
58,10,5,19
59,12,4,18
60,12,4,17
61,1,4,17
62,1,4,18
63,17,4,15
64,10,4,17
65,10,4,16
66,1,4,16
67,12,4,18
68,5,4,17
69,5,3,18
70,5,5,17
71,5,4,17
72,3,3,16
73,5,4,18
74,5,4,18
75,5,1,19
76,5,3,17
77,3,1,17
78,12,1,16
79,3,1,15
80,12,4,16
81,5,4,16
82,10,3,18
83,5,5,17
84,11,5,17
85,5,4,16
86,12,4,16
87,9,5,18
88,5,3,18
89,5,4,17
90,5,1,16
91,5,4,17
92,5,4,16
93,11,4,16
94,8,1,17
95,1,4,14
96,5,3,15
97,10,4,15
98,1,4,15
99,12,4,15
100,5,4,18
101,1,4,15
102,5,4,15
103,9,4,15
104,5,4,17
105,12,4,17
106,2,4,17
107,12,5,17
108,5,4,17
109,12,4,16
110,5,4,16
111,3,3,16
112,10,4,17
113,10,4,16
114,5,4,16
115,3,4,15
116,9,4,19
117,5,1,17
118,18,4,18
119,10,1,21
120,21,1,21
121,17,1,19
122,16,2,19
123,10,1,18
124,20,5,16
125,10,5,19
126,10,5,18
127,10,3,18
128,10,4,16
129,12,3,18
130,10,3,16
131,19,1,17
132,14,4,19
133,12,3,18
134,10,5,18
135,11,1,17
136,10,5,16
137,4,3,17
138,7,1,16
139,4,4,17
140,10,4,17
141,3,3,17
142,10,4,16
143,11,1,16
144,1,4,17
145,10,4,17
146,16,1,15
147,4,1,18
148,10,3,14
149,10,4,19
150,10,1,21
151,1,3,17
152,21,1,21
153,21,1,20
154,1,3,18
155,10,3,19
156,17,1,19
157,14,1,18
158,16,1,19
159,1,3,18
160,10,1,18
161,20,5,16
162,10,5,19
163,10,4,18
164,10,5,18
165,10,4,18
166,10,4,19
167,10,4,16
168,12,3,18
169,10,3,16
170,19,1,17
171,12,3,18
172,10,5,18
173,11,1,17
174,10,5,16
175,4,3,17
176,1,4,18
177,7,5,16
178,4,3,17
179,10,3,17
180,3,3,17
181,10,4,16
182,11,1,16
183,1,4,17
184,10,4,17
185,5,1,18
186,16,1,15
187,12,1,16
188,4,1,18
189,10,5,14
190,21,3,19
191,21,3,19
192,1,3,16
193,10,3,16
194,5,3,18
195,6,5,16
196,12,3,18
197,12,5,17
198,10,5,19
199,12,4,18
200,12,4,17
201,1,4,17
202,1,4,18
203,10,3,17
204,12,4,18
205,5,4,17
206,5,5,17
207,5,4,17
208,3,3,16
209,5,4,17
210,5,3,18
211,5,5,17
212,3,1,17
213,3,1,15
214,12,4,16
215,5,4,16
216,10,3,18
217,5,5,17
218,11,5,17
219,5,4,16
220,12,4,16
221,5,5,18
222,5,4,17
223,5,1,16
224,5,4,16
225,11,4,16
226,8,1,17
227,5,5,15
228,10,4,15
229,1,4,15
230,12,4,15
231,9,5,15
232,5,4,17
233,12,4,17
234,2,4,17
235,10,4,15
236,3,5,16
237,9,4,19
238,18,4,18
