,DELITO,CANTDAD,EDAD
0,Extorsion En Grado De Tentativa,2,19
1,Hurto Agravado Y Calificado,14,18
2,Porte De Estupefacientes,10,17
3,Porte Ilegal De Armas,3,17
4,Abuso Sexual En Menor De 14 Annos,1,16
5,Violencia Intrafamiliar,3,16
6,Porte Ilegal De Armas,3,19
7,Hurto Y Porte Ilegal De Armas,2,19
8,Hurto,8,18
9,Violencia Intrafamiliar,11,18
10,"Porte, Trafico O Fabricacion De Estupefacientes",4,18
11,Lesiones Personales,1,16
12,Actos Sexuales Con Menor De 14 Annos,2,17
13,Hurto,6,16
14,Abuso Sexual En Menor De 14 Annos,1,18
15,Hurto Agravado Y Calificado,4,15
16,Homicidio Simple,1,20
17,Hurto Agravado,1,15
18,Extorsion,1,20
19,Homicidio,1,15
20,Hurto Agravado Y Calificado,12,16
21,Hurto Agravado,3,16
22,Lesiones Personales Agravadas,1,17
23,Receptacion,5,17
24,Venta Y Porte De Estupefacientes,3,17
25,Extorsion,1,19
26,Hurto,2,15
27,Homicidio En Grado De Tentativa,2,18
28,Hurto Agravado Y Calificado,8,17
29,Hurto Agravado,3,17
30,Extorsion,1,15
31,Lesiones Personales Agravadas,1,16
32,Homicidio,1,20
33,Lesiones Personales,1,19
34,Porte De Estupefacientes,7,18
35,Receptacion,2,16
36,Hurto Y Porte Ilegal De Armas,2,18
37,Hurto Agravado Y Calificado,2,20
38,Danno En Bien Ajeno,1,16
39,Homicidio,1,21
40,Venta Y Porte De Estupefacientes,4,16
41,Hurto Agravado Y Calificado,2,21
42,Hurto Agravado Y Calificado,1,14
43,Lesiones Personales,1,17
44,Homicidio,1,19
45,Hurto,4,17
46,Hurto Agravado Y Calificado,10,19
47,Hurto Agravado,2,19
48,Receptacion,3,15
49,Pornografia Infantil,1,16
50,Hurto Calificado,2,18
51,Extorsion En Grado De Tentativa,1,16
52,Abuso Sexual En Menor De 14 Annos,3,20
53,Porte De Estupefacientes,2,15
54,Hurto Y Porte Ilegal De Armas,2,15
55,Porte Ilegal De Armas,1,15
56,"Porte, Trafico O Fabricacion De Estupefacientes",2,17
57,Violencia Intrafamiliar,9,17
58,Acceso Carnal Violento A Menor De 14 Annos,2,16
59,Abuso Sexual En Menor De 14 Annos,2,21
60,Abuso Sexual En Menor De 14 Annos,2,19
61,Venta Y Porte De Estupefacientes,2,18
62,Extorsion En Grado De Tentativa,1,15
63,Violencia Intrafamiliar,1,14
64,Violencia Contra Servidor Publico,1,17
65,Porte De Estupefacientes,6,16
66,Danno En Bien Ajeno,1,18
67,Porte Ilegal De Armas,1,16
68,Receptacion,2,18
69,Violencia Intrafamiliar,2,19
70,Violencia Intrafamiliar,2,15
71,Hurto Agravado,1,18
72,Hurto Y Porte Ilegal De Armas,1,17
73,Homicidio En Grado De Tentativa,1,20
