,delito,niv_consu,ContinuidadEscolar,ocupacion,rein_delito
0,2,3,0,2,1
1,6,4,0,1,0
2,2,5,0,1,1
3,7,5,0,1,1
4,7,3,0,1,1
5,7,6,0,1,0
6,5,5,0,1,1
7,20,3,0,1,1
8,7,3,0,1,0
9,20,5,0,1,1
10,20,3,0,1,1
11,2,3,0,1,1
12,8,3,0,1,1
13,7,5,1,1,1
14,5,3,0,1,1
15,4,1,0,1,0
16,2,1,0,1,0
17,5,2,0,1,0
18,2,1,0,1,0
19,2,5,0,1,0
20,1,2,0,1,0
21,22,3,0,1,1
22,5,3,0,1,0
23,20,3,1,1,0
24,7,1,0,1,0
25,7,5,1,2,1
26,5,6,0,2,0
27,2,3,0,2,1
28,7,5,0,2,0
29,5,5,0,2,1
30,5,5,0,2,1
31,7,5,0,2,1
32,10,5,0,2,0
33,2,3,0,2,0
34,2,3,1,2,1
35,7,3,0,2,0
36,22,5,0,2,1
37,20,5,0,2,1
38,2,5,1,2,0
39,7,5,0,2,1
40,7,3,0,1,0
41,7,3,0,2,0
42,11,6,0,2,0
43,2,3,0,2,0
44,2,3,1,2,1
45,7,5,0,2,1
46,7,5,0,2,0
47,2,3,0,2,1
48,7,5,0,3,1
49,7,3,0,3,1
50,2,5,0,3,0
51,5,5,0,3,0
52,7,5,0,3,1
53,2,5,0,3,1
54,7,5,0,4,1
55,14,5,0,5,0
56,7,5,0,6,0
57,11,5,1,6,0
58,7,5,0,6,1
59,16,6,0,7,1
60,7,3,0,7,1
61,2,5,0,7,1
62,5,5,0,7,1
63,19,5,0,7,1
64,6,3,0,7,1
65,22,5,0,7,1
66,1,3,0,7,1
67,1,3,0,7,1
68,2,5,0,7,1
69,2,5,0,7,1
70,7,5,0,7,1
71,7,5,0,7,1
72,2,3,0,7,1
73,7,5,0,7,1
74,2,5,1,7,1
75,5,5,0,7,1
76,2,5,1,7,1
77,7,3,0,1,0
78,6,2,0,1,0
79,4,1,0,1,0
80,3,3,0,1,1
81,20,1,0,1,0
82,3,5,1,1,1
83,27,3,0,1,1
84,2,1,0,1,0
85,8,1,0,1,0
86,6,3,0,1,0
87,11,2,0,1,0
88,5,1,0,1,0
89,5,2,0,1,0
90,7,3,0,1,1
91,11,1,0,1,0
92,20,2,0,1,0
93,10,3,0,1,0
94,5,3,0,1,0
95,6,5,0,1,1
96,7,6,0,1,0
97,7,2,0,1,0
98,7,6,0,1,1
99,5,5,0,1,0
100,11,2,0,1,1
101,3,3,1,1,1
102,5,1,0,1,0
103,22,6,0,1,0
104,11,1,0,1,0
105,3,5,0,1,1
106,7,5,0,1,1
107,7,5,0,1,1
108,5,5,0,1,1
109,11,3,1,1,0
110,2,3,0,2,0
111,2,3,0,2,0
112,1,6,0,2,0
113,1,1,1,2,0
114,7,3,0,1,1
115,9,6,0,1,0
116,11,3,0,2,0
117,5,6,0,8,0
118,15,1,1,1,1
119,20,1,1,1,0
120,18,6,0,1,0
121,8,1,0,1,0
122,18,6,0,1,0
123,17,1,1,1,0
124,17,1,0,1,0
125,1,1,1,2,0
126,6,1,0,1,0
127,14,1,1,1,0
128,8,1,0,1,0
129,1,1,0,1,0
130,11,1,1,1,0
131,7,1,0,1,0
132,7,5,1,1,0
133,2,1,1,1,0
134,1,1,1,1,0
135,7,1,0,1,1
136,9,3,0,1,0
137,22,1,0,1,0
138,27,3,0,1,0
139,14,1,1,1,0
140,6,1,0,1,0
141,7,1,0,1,0
142,7,6,0,1,0
143,11,3,0,1,1
144,7,1,1,1,1
145,13,1,0,1,0
146,17,1,1,1,0
147,2,2,0,1,0
148,22,6,0,1,1
149,7,6,0,1,0
150,17,2,0,1,0
151,6,1,0,1,0
152,20,1,0,2,0
153,7,1,0,1,0
154,7,1,0,2,0
155,7,3,1,1,1
156,7,6,0,2,0
157,2,1,1,2,0
158,2,2,0,1,1
159,19,1,0,2,0
160,7,3,0,1,1
161,6,1,0,1,0
162,7,3,1,1,1
163,19,1,0,2,0
164,0,5,0,7,1
165,7,1,0,1,0
166,4,2,0,1,0
167,11,6,1,1,1
168,13,1,0,1,0
169,7,6,0,1,0
170,7,2,0,1,0
171,5,3,0,2,0
172,7,3,0,1,0
173,5,5,0,2,0
174,7,1,1,1,1
175,7,3,0,1,0
176,3,1,0,1,0
177,3,1,1,1,0
178,6,6,1,1,0
179,11,1,0,1,0
180,7,6,0,1,0
181,5,3,0,1,0
182,1,3,1,7,1
183,22,6,0,1,0
