,clasificacion_grado,nivelConsumo,ocupacion,des_ocupacion,escoApro,des_esco_apro,escoActu,des_esco_act
0,19,5,1,CESANTE,8,OCTAVO,8.0,OCTAVO
1,12,6,1,CESANTE,12,BACHILLER,12.0,BACHILLER
2,9,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
3,13,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
4,8,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
5,9,3,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
6,19,6,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
7,19,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
8,25,1,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
9,5,1,1,CESANTE,6,SEXTO,6.0,SEXTO
10,21,1,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
11,9,5,1,CESANTE,6,SEXTO,6.0,SEXTO
12,14,1,3,ESTUDIA Y TRABAJA,12,BACHILLER,13.0,TECNICO
13,12,5,1,CESANTE,9,NOVENO,9.0,NOVENO
14,29,3,3,ESTUDIA Y TRABAJA,9,NOVENO,9.0,NOVENO
15,19,6,1,CESANTE,4,CUARTO,4.0,CUARTO
16,13,3,1,CESANTE,6,SEXTO,5.0,CICLO III
17,4,1,5,TRABAJA,5,QUINTO,5.0,QUINTO
18,10,6,2,ESTUDIA,5,QUINTO,5.0,CICLO III
19,12,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
20,19,5,1,CESANTE,6,SEXTO,6.0,SEXTO
21,9,5,1,CESANTE,5,QUINTO,6.0,SEXTO
22,6,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
23,19,6,5,TRABAJA,12,BACHILLER,12.0,BACHILLER
24,12,5,1,CESANTE,5,QUINTO,5.0,QUINTO
25,12,3,1,CESANTE,5,QUINTO,5.0,QUINTO
26,13,1,5,TRABAJA,9,NOVENO,10.0,DECIMO
27,9,3,1,CESANTE,6,SEXTO,6.0,SEXTO
28,12,5,1,CESANTE,5,QUINTO,5.0,CICLO III
29,9,3,1,CESANTE,9,NOVENO,11.0,CICLO V
30,15,1,5,TRABAJA,7,SEPTIMO,9.0,CICLO IV
31,19,3,1,CESANTE,5,QUINTO,5.0,QUINTO
32,19,3,2,ESTUDIA,7,SEPTIMO,7.0,SEPTIMO
33,12,3,5,TRABAJA,10,DECIMO,10.0,DECIMO
34,19,3,5,TRABAJA,5,QUINTO,12.0,BACHILLER
35,9,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
36,19,5,1,CESANTE,6,SEXTO,6.0,SEXTO
37,12,3,1,CESANTE,6,SEXTO,6.0,SEXTO
38,18,5,1,CESANTE,5,QUINTO,5.0,CICLO III
39,18,1,3,ESTUDIA Y TRABAJA,4,CUARTO,4.0,CUARTO
40,19,3,1,CESANTE,6,SEXTO,6.0,SEXTO
41,2,5,5,TRABAJA,3,TERCERO,3.0,TERCERO
42,9,5,1,CESANTE,5,QUINTO,5.0,CICLO III
43,19,3,1,CESANTE,9,NOVENO,9.0,NOVENO
44,7,5,1,CESANTE,9,NOVENO,9.0,NOVENO
45,12,5,1,CESANTE,8,OCTAVO,8.0,OCTAVO
46,23,6,1,CESANTE,5,QUINTO,5.0,QUINTO
47,8,5,1,CESANTE,12,BACHILLER,12.0,BACHILLER
48,12,1,1,CESANTE,4,CUARTO,4.0,CUARTO
49,18,6,5,TRABAJA,7,SEPTIMO,9.0,CICLO IV
50,4,3,2,ESTUDIA,5,QUINTO,5.0,QUINTO
51,19,6,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
52,7,6,1,CESANTE,6,SEXTO,6.0,SEXTO
53,4,1,1,CESANTE,5,QUINTO,5.0,QUINTO
54,19,3,1,CESANTE,9,NOVENO,9.0,NOVENO
55,24,6,2,ESTUDIA,7,SEPTIMO,7.0,SEPTIMO
56,15,1,2,ESTUDIA,9,NOVENO,10.0,DECIMO
57,19,5,1,CESANTE,9,NOVENO,9.0,NOVENO
58,19,5,1,CESANTE,9,NOVENO,9.0,NOVENO
59,12,5,1,CESANTE,5,QUINTO,5.0,QUINTO
60,18,1,2,ESTUDIA,5,QUINTO,5.0,QUINTO
61,9,5,1,CESANTE,4,CUARTO,4.0,CUARTO
62,19,5,1,CESANTE,5,QUINTO,5.0,QUINTO
63,19,6,5,TRABAJA,3,TERCERO,3.0,TERCERO
64,4,3,5,TRABAJA,5,QUINTO,5.0,QUINTO
65,19,5,1,CESANTE,5,QUINTO,5.0,QUINTO
66,19,5,2,ESTUDIA,9,NOVENO,11.0,CICLO V
67,19,1,5,TRABAJA,12,BACHILLER,13.0,TECNICO
68,19,6,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
69,12,5,1,CESANTE,5,QUINTO,5.0,QUINTO
70,9,3,1,CESANTE,5,QUINTO,5.0,QUINTO
71,7,6,5,TRABAJA,10,DECIMO,10.0,DECIMO
72,19,6,5,TRABAJA,6,SEXTO,6.0,SEXTO
73,8,1,5,TRABAJA,8,OCTAVO,8.0,OCTAVO
74,19,5,1,CESANTE,8,OCTAVO,8.0,OCTAVO
75,19,3,1,CESANTE,6,SEXTO,6.0,SEXTO
76,19,1,5,TRABAJA,6,SEXTO,6.0,SEXTO
77,12,6,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
78,12,5,1,CESANTE,9,NOVENO,9.0,NOVENO
79,19,5,1,CESANTE,10,DECIMO,10.0,DECIMO
80,4,5,1,CESANTE,6,SEXTO,7.0,SEPTIMO
81,19,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
82,9,5,1,CESANTE,6,SEXTO,5.0,CICLO III
83,22,1,2,ESTUDIA,12,BACHILLER,13.0,TECNICO
84,14,5,1,CESANTE,9,NOVENO,9.0,NOVENO
85,19,5,1,CESANTE,9,NOVENO,9.0,NOVENO
86,9,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
87,9,5,1,CESANTE,5,QUINTO,5.0,CICLO III
88,19,5,1,CESANTE,9,NOVENO,9.0,NOVENO
89,9,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
90,19,3,1,CESANTE,9,NOVENO,9.0,NOVENO
91,19,5,1,CESANTE,6,SEXTO,6.0,SEXTO
92,9,3,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
93,17,1,2,ESTUDIA,7,SEPTIMO,7.0,SEPTIMO
94,19,3,5,TRABAJA,7,SEPTIMO,7.0,SEPTIMO
95,17,1,2,ESTUDIA,12,BACHILLER,14.0,TECNOLOGIA
96,19,1,2,ESTUDIA,12,BACHILLER,12.0,BACHILLER
97,17,1,2,ESTUDIA,12,BACHILLER,13.0,TECNICO
98,19,1,5,TRABAJA,12,BACHILLER,13.0,TECNICO
99,19,3,5,TRABAJA,5,QUINTO,5.0,CICLO III
100,13,1,5,TRABAJA,5,QUINTO,5.0,CICLO III
101,17,1,2,ESTUDIA,12,BACHILLER,13.0,TECNICO
102,17,3,1,CESANTE,5,QUINTO,5.0,CICLO III
103,17,3,1,CESANTE,5,QUINTO,5.0,CICLO III
104,4,6,1,CESANTE,5,QUINTO,5.0,CICLO III
105,7,5,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
106,9,3,1,CESANTE,7,SEPTIMO,7.0,SEPTIMO
107,9,3,1,CESANTE,12,BACHILLER,13.0,TECNICO
