,tip_familiar,delito,idDelito
0,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
1,RECONSTITUIDA,HURTO,5
2,NUCLEAR PROPIA,VIOLENCIA INTRAFAMILIAR,2
3,MONOPARENTAL FEMENINA PROPIA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",3
4,MONOPARENTAL FEMENINA PROPIA,VENTA Y PORTE DE ESTUPEFACIENTES,20
5,MONOPARENTAL MASCULINA,VIOLENCIA INTRAFAMILIAR,2
6,EXTENSA,HURTO AGRAVADO Y CALIFICADO,7
7,NUCLEAR,HURTO AGRAVADO Y CALIFICADO,7
8,MONOPARENTAL FEMENINA PROPIA,HOMICIDIO EN GRADO DE TENTATIVA,19
9,MONOPARENTAL FEMENINA PROPIA,LESIONES PERSONALES,4
10,NUCLEAR,ACTOS SEXUALES CON MENOR DE 14 ANNOS,13
11,RECONSTITUIDA,VIOLENCIA INTRAFAMILIAR,2
12,MONOPARENTAL FEMENINA PROPIA,EXTORSION,14
13,NUCLEAR,HURTO,5
14,MONOPARENTAL MASCULINA,HURTO CALIFICADO,27
15,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
16,MONOPARENTAL FEMENINA PROPIA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",3
17,RECONSTITUIDA,RECEPTACION,11
18,MONOPARENTAL FEMENINA PROPIA,LESIONES PERSONALES AGRAVADAS,9
19,NUCLEAR,HURTO,5
20,NUCLEAR,HURTO AGRAVADO Y CALIFICADO,7
21,RECONSTITUIDA,VIOLENCIA INTRAFAMILIAR,2
22,NUCLEAR PROPIA,DANNO EN BIEN AJENO,10
23,EXTENSA,HURTO AGRAVADO Y CALIFICADO,7
24,EXTENSA,HURTO,5
25,EXTENSA,HURTO,5
26,RECONSTITUIDA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",3
27,EXTENSA,VIOLENCIA INTRAFAMILIAR,2
28,EXTENSA,HURTO,5
29,NUCLEAR,VIOLENCIA INTRAFAMILIAR,2
30,NUCLEAR,EXTORSION EN GRADO DE TENTATIVA,17
31,NUCLEAR PROPIA,HURTO AGRAVADO Y CALIFICADO,7
32,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
33,MONOPARENTAL FEMENINA PROPIA,HURTO,5
34,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO,7
35,EXTENSA,VIOLENCIA INTRAFAMILIAR,2
36,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
37,RECONSTITUIDA,HURTO,5
38,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO,6
39,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO,6
40,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
41,NUCLEAR PROPIA,VIOLENCIA CONTRA SERVIDOR PUBLICO,0
42,MONOPARENTAL FEMENINA PROPIA,VIOLENCIA INTRAFAMILIAR,2
43,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO,7
