,Cantidad,tip_familiar,delito
0,5,NUCLEAR,ABUSO SEXUAL EN MENOR DE 14 ANNOS
1,1,MONOPARENTAL MASCULINA,HURTO CALIFICADO
2,3,MONOPARENTAL FEMENINA PROPIA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES"
3,6,MONOPARENTAL FEMENINA PROPIA,VIOLENCIA INTRAFAMILIAR
4,13,RECONSTITUIDA,HURTO AGRAVADO Y CALIFICADO
5,5,NUCLEAR PROPIA,HURTO AGRAVADO Y CALIFICADO
6,4,MONOPARENTAL FEMENINA PROPIA,HURTO
7,1,RED DE APOYO,RECEPTACION
8,5,EXTENSA,HURTO AGRAVADO Y CALIFICADO
9,7,NUCLEAR,HURTO AGRAVADO Y CALIFICADO
10,2,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO
11,1,MONOPARENTAL MASCULINA,PORTE DE ESTUPEFACIENTES
12,1,MONOPARENTAL MASCULINA,PORTE ILEGAL DE ARMAS
13,3,RECONSTITUIDA,ABUSO SEXUAL EN MENOR DE 14 ANNOS
14,2,MONOPARENTAL FEMENINA PROPIA,LESIONES PERSONALES AGRAVADAS
15,2,NUCLEAR,ACTOS SEXUALES CON MENOR DE 14 ANNOS
16,1,MONOPARENTAL FEMENINA PROPIA,VENTA Y PORTE DE ESTUPEFACIENTES
17,2,MONOPARENTAL MASCULINA,VIOLENCIA INTRAFAMILIAR
18,2,MONOPARENTAL FEMENINA PROPIA,EXTORSION
19,2,NUCLEAR,RECEPTACION
20,1,EXTENSA,RECEPTACION
21,4,EXTENSA,HURTO Y PORTE ILEGAL DE ARMAS
22,2,RECONSTITUIDA,RECEPTACION
23,1,MONOPARENTAL MASCULINA,HURTO
24,2,MONOPARENTAL FEMENINA PROPIA,HOMICIDIO EN GRADO DE TENTATIVA
25,11,MONOPARENTAL FEMENINA PROPIA,PORTE DE ESTUPEFACIENTES
26,2,NUCLEAR,EXTORSION EN GRADO DE TENTATIVA
27,2,MONOPARENTAL FEMENINA PROPIA,PORTE ILEGAL DE ARMAS
28,2,NUCLEAR,VIOLENCIA INTRAFAMILIAR
29,5,EXTENSA,VIOLENCIA INTRAFAMILIAR
30,2,RECONSTITUIDA,HURTO
31,2,NUCLEAR PROPIA,VIOLENCIA INTRAFAMILIAR
32,1,NUCLEAR PROPIA,VIOLENCIA CONTRA SERVIDOR PUBLICO
33,1,RECONSTITUIDA,HURTO AGRAVADO
34,2,RED DE APOYO,PORTE DE ESTUPEFACIENTES
35,1,RED DE APOYO,PORTE ILEGAL DE ARMAS
36,1,MONOPARENTAL FEMENINA PROPIA,LESIONES PERSONALES
37,1,NUCLEAR,HOMICIDIO
38,1,NUCLEAR,HURTO AGRAVADO
39,1,RED DE APOYO,VENTA Y PORTE DE ESTUPEFACIENTES
40,15,MONOPARENTAL FEMENINA PROPIA,HURTO AGRAVADO Y CALIFICADO
41,1,NUCLEAR PROPIA,HURTO
42,4,RECONSTITUIDA,VIOLENCIA INTRAFAMILIAR
43,3,RECONSTITUIDA,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES"
44,2,MONOPARENTAL MASCULINA,HURTO Y PORTE ILEGAL DE ARMAS
45,3,NUCLEAR,HURTO
46,4,EXTENSA,HURTO
47,1,EXTENSA,PORNOGRAFIA INFANTIL
48,1,MONOPARENTAL FEMENINA PROPIA,RECEPTACION
49,1,RED DE APOYO,HURTO
50,1,NUCLEAR,EXTORSION
51,2,RECONSTITUIDA,PORTE DE ESTUPEFACIENTES
52,1,NUCLEAR PROPIA,DANNO EN BIEN AJENO
53,1,NUCLEAR,VENTA Y PORTE DE ESTUPEFACIENTES
54,1,MONOPARENTAL FEMENINA PROPIA,HOMICIDIO SIMPLE
55,3,EXTENSA,PORTE DE ESTUPEFACIENTES
56,3,NUCLEAR,PORTE DE ESTUPEFACIENTES
57,2,MONOPARENTAL FEMENINA PROPIA,EXTORSION EN GRADO DE TENTATIVA
58,2,EXTENSA,PORTE ILEGAL DE ARMAS
59,1,EXTENSA,HOMICIDIO EN GRADO DE TENTATIVA
60,1,NUCLEAR PROPIA,PORTE DE ESTUPEFACIENTES
61,2,MONOPARENTAL FEMENINA PROPIA,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS
62,1,MONOPARENTAL MASCULINA,HURTO AGRAVADO Y CALIFICADO
63,1,MONOPARENTAL FEMENINA PROPIA,HURTO Y PORTE ILEGAL DE ARMAS
