,delito,escoApro,idCicloEscoApro,CicloEscoApro,escoActu,idCicloEscoAct,CicloescoActu,continuidadEscolar
0,ABUSO SEXUAL EN MENOR DE 14 ANNOS,QUINTO,5,Primaria,CICLO III,5.0,Primaria,Si
1,ABUSO SEXUAL EN MENOR DE 14 ANNOS,BACHILLER,12,secundaria,TECNICO,13.0,superior,Si
2,ABUSO SEXUAL EN MENOR DE 14 ANNOS,BACHILLER,12,secundaria,TECNICO,13.0,superior,Si
3,ABUSO SEXUAL EN MENOR DE 14 ANNOS,BACHILLER,12,secundaria,TECNICO,13.0,superior,Si
4,ABUSO SEXUAL EN MENOR DE 14 ANNOS,BACHILLER,12,secundaria,TECNOLOGIA,14.0,superior,Si
5,ABUSO SEXUAL EN MENOR DE 14 ANNOS,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
6,ABUSO SEXUAL EN MENOR DE 14 ANNOS,QUINTO,5,Primaria,CICLO III,5.0,Primaria,Si
7,ABUSO SEXUAL EN MENOR DE 14 ANNOS,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
8,ABUSO SEXUAL EN MENOR DE 14 ANNOS,NOVENO,9,secundaria,NOVENO,9.0,secundaria,No
9,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
10,ACCESO CARNAL VIOLENTO A MENOR DE 14 ANNOS,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
11,ACTOS SEXUALES CON MENOR DE 14 ANNOS,CUARTO,4,Primaria,CUARTO,4.0,Primaria,No
12,ACTOS SEXUALES CON MENOR DE 14 ANNOS,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
13,DANNO EN BIEN AJENO,SEXTO,6,secundaria,SEXTO,6.0,secundaria,No
14,DANNO EN BIEN AJENO,SEPTIMO,7,secundaria,SEPTIMO,7.0,secundaria,No
15,EXTORSION,BACHILLER,12,secundaria,TECNICO,13.0,superior,Si
16,EXTORSION,NOVENO,9,secundaria,CICLO V,11.0,secundaria,Si
17,EXTORSION,NOVENO,9,secundaria,NOVENO,9.0,secundaria,No
