,delito,esco_apro,esco_act,continuidadEscolar,ocupacion
0,PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,ESTUDIA
1,PORTE DE ESTUPEFACIENTES,BACHILLER,BACHILLER,No,CESANTE
2,HURTO AGRAVADO Y CALIFICADO,OCTAVO,OCTAVO,No,CESANTE
3,HURTO,BACHILLER,BACHILLER,No,CESANTE
4,PORTE DE ESTUPEFACIENTES,SEXTO,SEXTO,No,ESTUDIA
5,VIOLENCIA INTRAFAMILIAR,SEPTIMO,SEPTIMO,No,CESANTE
6,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",SEPTIMO,SEPTIMO,No,CESANTE
7,VENTA Y PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,CESANTE
8,PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
9,VIOLENCIA INTRAFAMILIAR,BACHILLER,BACHILLER,No,ESTUDIA
10,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,TRABAJA
11,HURTO AGRAVADO Y CALIFICADO,SEPTIMO,SEPTIMO,No,CESANTE
12,PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,CESANTE
13,HOMICIDIO EN GRADO DE TENTATIVA,SEPTIMO,SEPTIMO,No,TRABAJA
14,LESIONES PERSONALES,SEXTO,SEXTO,No,CESANTE
15,ACTOS SEXUALES CON MENOR DE 14 ANNOS,SEPTIMO,SEPTIMO,No,TRABAJA
16,PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
17,VIOLENCIA INTRAFAMILIAR,SEXTO,SEXTO,No,CESANTE
18,EXTORSION,BACHILLER,TECNICO,Si,ESTUDIA Y TRABAJA
19,HURTO,NOVENO,NOVENO,No,CESANTE
20,PORTE DE ESTUPEFACIENTES,QUINTO,QUINTO,No,CESANTE
21,HURTO CALIFICADO,NOVENO,NOVENO,No,ESTUDIA Y TRABAJA
22,HURTO AGRAVADO Y CALIFICADO,CUARTO,CUARTO,No,CESANTE
23,"PORTE, TRAFICO O FABRICACION DE ESTUPEFACIENTES",SEXTO,CICLO III,Si,CESANTE
24,RECEPTACION,QUINTO,QUINTO,No,TRABAJA
25,PORTE DE ESTUPEFACIENTES,SEPTIMO,SEPTIMO,No,CESANTE
26,PORTE ILEGAL DE ARMAS,SEPTIMO,SEPTIMO,No,CESANTE
27,LESIONES PERSONALES AGRAVADAS,QUINTO,CICLO III,Si,ESTUDIA
28,HURTO,SEPTIMO,SEPTIMO,No,CESANTE
29,HURTO AGRAVADO Y CALIFICADO,SEXTO,SEXTO,No,CESANTE
30,VIOLENCIA INTRAFAMILIAR,QUINTO,SEXTO,Si,CESANTE
31,PORTE ILEGAL DE ARMAS,BACHILLER,BACHILLER,No,ESTUDIA Y TRABAJA
32,DANNO EN BIEN AJENO,SEPTIMO,SEPTIMO,No,CESANTE
