,id_tip_fam,tip_familiar,rein_delito
0,5,RECONSTITUIDA,0
1,0,EXTENSA,1
2,5,RECONSTITUIDA,1
3,5,RECONSTITUIDA,0
4,1,MONOPARENTAL FEMENINA PROPIA,0
5,4,NUCLEAR PROPIA,1
6,1,MONOPARENTAL FEMENINA PROPIA,1
7,1,MONOPARENTAL FEMENINA PROPIA,1
8,2,MONOPARENTAL MASCULINA,0
9,2,MONOPARENTAL MASCULINA,0
10,0,EXTENSA,0
11,3,NUCLEAR,0
12,1,MONOPARENTAL FEMENINA PROPIA,1
13,1,MONOPARENTAL FEMENINA PROPIA,0
14,1,MONOPARENTAL FEMENINA PROPIA,0
15,3,NUCLEAR,0
16,1,MONOPARENTAL FEMENINA PROPIA,1
17,5,RECONSTITUIDA,1
18,1,MONOPARENTAL FEMENINA PROPIA,0
19,3,NUCLEAR,1
20,4,NUCLEAR PROPIA,1
21,2,MONOPARENTAL MASCULINA,0
22,5,RECONSTITUIDA,1
23,1,MONOPARENTAL FEMENINA PROPIA,1
24,5,RECONSTITUIDA,0
25,3,NUCLEAR,1
26,2,MONOPARENTAL MASCULINA,1
27,1,MONOPARENTAL FEMENINA PROPIA,0
28,3,NUCLEAR,1
29,3,NUCLEAR,1
30,5,RECONSTITUIDA,1
31,1,MONOPARENTAL FEMENINA PROPIA,0
32,4,NUCLEAR PROPIA,0
33,0,EXTENSA,0
34,0,EXTENSA,1
35,0,EXTENSA,0
36,5,RECONSTITUIDA,0
37,0,EXTENSA,0
38,0,EXTENSA,1
39,3,NUCLEAR,1
40,3,NUCLEAR,0
41,4,NUCLEAR PROPIA,0
42,0,EXTENSA,1
43,1,MONOPARENTAL FEMENINA PROPIA,1
44,1,MONOPARENTAL FEMENINA PROPIA,0
45,1,MONOPARENTAL FEMENINA PROPIA,0
46,1,MONOPARENTAL FEMENINA PROPIA,1
47,0,EXTENSA,1
48,5,RECONSTITUIDA,1
49,5,RECONSTITUIDA,0
50,1,MONOPARENTAL FEMENINA PROPIA,0
51,1,MONOPARENTAL FEMENINA PROPIA,1
52,1,MONOPARENTAL FEMENINA PROPIA,0
53,5,RECONSTITUIDA,1
54,4,NUCLEAR PROPIA,1
