,id_Consumo,niv_consu,rein_delito
0,6,SOCIAL,0
1,6,SOCIAL,1
2,5,PROBLEMATICO,1
3,6,SOCIAL,0
4,1,ABSTINENCIA,0
5,3,HABITUAL,1
6,3,HABITUAL,1
7,5,PROBLEMATICO,1
8,5,PROBLEMATICO,0
9,3,HABITUAL,0
10,6,SOCIAL,0
11,5,PROBLEMATICO,0
12,3,HABITUAL,1
13,1,ABSTINENCIA,0
14,1,ABSTINENCIA,0
15,1,ABSTINENCIA,0
16,5,PROBLEMATICO,1
17,5,PROBLEMATICO,1
18,1,ABSTINENCIA,0
19,5,PROBLEMATICO,1
20,1,ABSTINENCIA,1
21,3,HABITUAL,0
22,6,SOCIAL,1
23,3,HABITUAL,1
24,1,ABSTINENCIA,0
25,5,PROBLEMATICO,1
26,5,PROBLEMATICO,1
27,6,SOCIAL,0
28,5,PROBLEMATICO,1
29,5,PROBLEMATICO,1
30,5,PROBLEMATICO,1
31,1,ABSTINENCIA,0
32,5,PROBLEMATICO,0
33,6,SOCIAL,0
34,5,PROBLEMATICO,1
35,3,HABITUAL,0
36,1,ABSTINENCIA,0
37,3,HABITUAL,0
38,5,PROBLEMATICO,1
39,3,HABITUAL,1
40,1,ABSTINENCIA,0
41,3,HABITUAL,0
42,5,PROBLEMATICO,1
43,3,HABITUAL,1
44,6,SOCIAL,0
45,3,HABITUAL,0
46,3,HABITUAL,1
47,5,PROBLEMATICO,1
48,5,PROBLEMATICO,1
49,3,HABITUAL,0
50,5,PROBLEMATICO,0
51,5,PROBLEMATICO,1
52,1,ABSTINENCIA,0
53,3,HABITUAL,1
54,5,PROBLEMATICO,1
55,5,PROBLEMATICO,0
56,3,HABITUAL,0
57,5,PROBLEMATICO,1
58,5,PROBLEMATICO,0
59,6,SOCIAL,1
60,5,PROBLEMATICO,1
61,1,ABSTINENCIA,0
62,6,SOCIAL,0
63,3,HABITUAL,0
64,6,SOCIAL,0
65,6,SOCIAL,0
66,6,SOCIAL,0
67,1,ABSTINENCIA,0
68,3,HABITUAL,1
69,6,SOCIAL,0
70,1,ABSTINENCIA,0
71,5,PROBLEMATICO,1
72,5,PROBLEMATICO,1
73,5,PROBLEMATICO,1
74,1,ABSTINENCIA,0
75,5,PROBLEMATICO,1
76,5,PROBLEMATICO,1
77,3,HABITUAL,1
78,6,SOCIAL,0
79,3,HABITUAL,1
80,5,PROBLEMATICO,1
81,5,PROBLEMATICO,1
82,5,PROBLEMATICO,0
83,1,ABSTINENCIA,1
84,6,SOCIAL,0
85,5,PROBLEMATICO,1
86,3,HABITUAL,1
87,3,HABITUAL,1
88,6,SOCIAL,1
89,5,PROBLEMATICO,0
90,5,PROBLEMATICO,0
91,6,SOCIAL,0
92,5,PROBLEMATICO,0
93,1,ABSTINENCIA,0
94,5,PROBLEMATICO,1
95,3,HABITUAL,0
96,5,PROBLEMATICO,1
97,1,ABSTINENCIA,0
98,6,SOCIAL,0
99,5,PROBLEMATICO,0
100,5,PROBLEMATICO,1
101,5,PROBLEMATICO,0
102,5,PROBLEMATICO,1
103,5,PROBLEMATICO,0
104,1,ABSTINENCIA,1
