,delito,niv_consu,ContinuidadEscolar  ,Ocupacion,Rein_delito,SCORE_NEW,Sit_joven
0,,,,,1,,
1,5.0,5.0,0.0,1.0,1,0.7366666666666668,
2,7.0,3.0,0.0,1.0,0,0.17113095238095238,
3,2.0,5.0,0.0,1.0,0,0.4541666666666667,
4,,,,,1,,
5,,,,,1,,
6,7.0,5.0,1.0,1.0,1,0.7,
7,3.0,5.0,0.0,1.0,1,0.9333333333333332,
8,,,,,0,,
9,22.0,3.0,0.0,1.0,1,0.7958333333333334,
10,3.0,3.0,0.0,1.0,1,0.6799999999999999,
11,20.0,5.0,0.0,1.0,1,0.9083333333333334,
12,4.0,1.0,0.0,1.0,0,0.0,
13,,,,,1,,
14,5.0,5.0,0.0,2.0,1,0.9425000000000001,
15,7.0,3.0,0.0,2.0,0,0.033035714285714286,
16,,,,,0,,
17,5.0,6.0,0.0,2.0,0,0.13,
18,2.0,3.0,1.0,2.0,1,0.8300000000000001,
19,11.0,6.0,0.0,2.0,0,0.1,
20,,,,,1,,
21,5.0,5.0,0.0,2.0,1,0.9425000000000001,
22,2.0,3.0,0.0,2.0,0,0.39847222222222217,
23,7.0,5.0,0.0,2.0,1,0.6916666666666668,
24,,,,,0,,
25,7.0,5.0,0.0,2.0,0,0.6916666666666668,
26,20.0,5.0,0.0,2.0,1,0.8333333333333333,
27,2.0,3.0,0.0,2.0,0,0.39847222222222217,
28,,,,,0,,
29,,,,,1,,
30,2.0,5.0,1.0,2.0,0,0.21666666666666665,
31,,,,,1,,
32,2.0,3.0,0.0,2.0,1,0.39847222222222217,
33,,,,,1,,
34,2.0,3.0,0.0,2.0,1,0.39847222222222217,
35,,,,,0,,
36,7.0,3.0,0.0,3.0,1,0.86875,
37,,,,,1,,
38,,,,,0,,
39,7.0,5.0,0.0,3.0,1,0.9416666666666668,
40,7.0,5.0,0.0,3.0,1,0.9416666666666668,
41,7.0,5.0,0.0,4.0,1,0.9666666666666668,
42,,,,,0,,
43,7.0,5.0,0.0,6.0,0,0.6900000000000001,
44,7.0,5.0,0.0,6.0,1,0.6900000000000001,
45,,,,,0,,
46,2.0,3.0,0.0,7.0,1,1.0,
47,2.0,5.0,1.0,7.0,1,1.0,
48,2.0,5.0,0.0,7.0,1,1.0,
49,2.0,5.0,1.0,7.0,1,1.0,
50,7.0,5.0,0.0,7.0,1,1.0,
51,5.0,5.0,0.0,7.0,1,1.0,
52,7.0,5.0,0.0,7.0,1,1.0,
53,5.0,5.0,0.0,7.0,1,1.0,
54,2.0,5.0,0.0,7.0,1,1.0,
55,2.0,5.0,0.0,7.0,1,1.0,
56,7.0,3.0,0.0,7.0,1,1.0,
57,16.0,6.0,0.0,7.0,1,0.85,
58,19.0,5.0,0.0,7.0,1,1.0,
59,1.0,3.0,0.0,7.0,1,1.0,
60,1.0,3.0,0.0,7.0,1,1.0,
61,7.0,5.0,0.0,7.0,1,1.0,
62,,,,,1,,
63,,,,,1,,
64,3.0,3.0,1.0,1.0,1,0.95,
65,5.0,3.0,0.0,1.0,0,0.1675,
66,7.0,3.0,0.0,1.0,0,0.17113095238095238,
67,5.0,3.0,0.0,1.0,0,0.1675,
68,6.0,5.0,0.0,1.0,1,0.8916666666666668,
69,5.0,5.0,0.0,1.0,0,0.7366666666666668,
70,5.0,1.0,0.0,1.0,0,0.0,
71,22.0,6.0,0.0,1.0,0,0.33333333333333326,
72,11.0,1.0,0.0,1.0,0,0.0,
73,7.0,5.0,0.0,1.0,1,0.975,
74,,,,,1,,
75,5.0,5.0,0.0,1.0,1,0.7366666666666668,
76,2.0,5.0,0.0,1.0,1,0.4541666666666667,
